2026-03-09 15:09:12 | INFO     | energy_dna           | Anomalies flagged:100/ 2000
2026-03-09 15:09:12 | INFO     | energy_dna           | PHASE 2:COMPLETE
2026-03-09 15:09:37 | INFO     | batch_genome         | ============================================================
2026-03-09 15:09:37 | INFO     | batch_genome         | PHASE 3: BATCH GENOME ENCODING PIPELINE STARTING
2026-03-09 15:09:37 | INFO     | batch_genome         | ============================================================
2026-03-09 15:09:37 | INFO     | batch_genome         | Step 1/3: Loading input data...
2026-03-09 15:09:37 | INFO     | batch_genome         | ✓ Loaded batch data: (2000, 13)
2026-03-09 15:09:37 | INFO     | batch_genome         | ✓ Columns: ['temperature', 'pressure', 'speed', 'feed_rate', 'humidity', 'material_density', 'material_hardness', 'material_grade', 'yield', 'quality', 'energy_consumption', 'carbon_intensity', 'batch_id']
2026-03-09 15:09:37 | INFO     | batch_genome         | ✓ Loaded energy embeddings: (2000, 16)
2026-03-09 15:09:37 | INFO     | batch_genome         | Step 2/3: Constructing genome vectors...
2026-03-09 15:09:37 | INFO     | batch_genome         | ✓ Extracted process features: (2000, 5)
2026-03-09 15:09:37 | DEBUG    | batch_genome         | Features: ['temperature', 'pressure', 'speed', 'feed_rate', 'humidity']
2026-03-09 15:09:37 | INFO     | batch_genome         | ✓ Extracted material features: (2000, 3)
2026-03-09 15:09:37 | DEBUG    | batch_genome         | Features: ['material_density', 'material_hardness', 'material_grade']
2026-03-09 15:09:37 | INFO     | batch_genome         | ✓ Extracted carbon intensity: (2000, 1)
2026-03-09 15:09:37 | DEBUG    | batch_genome         | Carbon range: [82.4, 540.7] gCO2/kWh
2026-03-09 15:09:37 | DEBUG    | batch_genome         | ✓ All feature shapes match: 2000 batches
2026-03-09 15:09:37 | INFO     | batch_genome         | ✓ Constructed genome vectors: (2000, 25)
2026-03-09 15:09:37 | INFO     | batch_genome         | ✓ Genome breakdown: Process(5) + Material(3) + EnergyDNA(16) + Carbon(1) = 25
2026-03-09 15:09:37 | INFO     | batch_genome         | Step 3/3: Normalizing and saving...
2026-03-09 15:09:37 | INFO     | batch_genome         | ✓ Normalized genome vectors
2026-03-09 15:09:37 | INFO     | batch_genome         |   Original mean range: [-0.245, 1740.712]
2026-03-09 15:09:37 | INFO     | batch_genome         |   Original std range: [0.159, 719.673]
2026-03-09 15:09:37 | INFO     | batch_genome         |   Normalized mean: 0.000000, std: 1.000000
2026-03-09 15:09:37 | INFO     | batch_genome         | ✓ Saved genome vectors → C:\Users\HP\ACMGS\data\processed\genome_vectors.npy
2026-03-09 15:09:37 | INFO     | batch_genome         | ✓ Saved normalization params → C:\Users\HP\ACMGS\data\processed\genome_normalization.npz
2026-03-09 15:09:37 | INFO     | batch_genome         | ✓ Saved batch IDs → C:\Users\HP\ACMGS\data\processed\batch_ids.npy
2026-03-09 15:09:37 | INFO     | batch_genome         | ✓ Saved metadata → C:\Users\HP\ACMGS\data\processed\genome_metadata.csv
2026-03-09 15:09:37 | INFO     | batch_genome         | ============================================================
2026-03-09 15:09:37 | INFO     | batch_genome         | ✓ PHASE 3: COMPLETE
2026-03-09 15:09:37 | INFO     | batch_genome         | ============================================================
2026-03-09 15:09:37 | INFO     | batch_genome         | ✓ Total batches processed: 2000
